total_weight,weights,normalized_weights,center_of_mass,norm_center_of_mass,inertia,norm_inertia
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
89,"{'upper_left': 15, 'upper_right': 15, 'lower_left': 35, 'lower_right': 24}","{'upper_left': 0.02508361204013378, 'upper_right': 0.02508361204013378, 'lower_left': 0.05852842809364549, 'lower_right': 0.04013377926421405}","(20.0, 28.134831460674157)","(0.39215686274509803, 0.6116267708842208)","(116.2964272187855, 136.13483146067415)","(0.04300903373475795, 0.06162735693104307)"
